edge,impl,epochs,total_s,bmu_s,update_s,qe_held,qe_train,TE,dead_frac,converged,status,notes
32,sbsom-bin,25,29.02,25.6,1.03,0.530133,0.531117,0.013845,0.151367,True,ok,
32,sbsom-float,25,32.46,28.83,1.22,0.530133,0.531117,0.013845,0.151367,True,ok,
32,ssom-feat,25,31.7,21.6,0.66,0.526226,0.527277,0.01528,0.180664,True,ok,
32,ssom-node,24,120.36,112.32,0.7,0.524549,0.525627,0.01527,0.1875,True,ok,
45,sbsom-bin,27,39.26,34.07,1.14,0.512285,0.513282,0.016545,0.17037,True,ok,
45,sbsom-float,27,48.55,42.91,1.4,0.512285,0.513282,0.016545,0.17037,True,ok,
45,ssom-feat,27,70.27,53.33,1.34,0.50852,0.509527,0.0174,0.213333,True,ok,
45,ssom-node,23,225.1,216.07,1.54,0.507463,0.508419,0.01688,0.171358,True,ok,
64,sbsom-bin,30,62.06,53.72,1.34,0.491311,0.492272,0.0201,0.217041,True,ok,
64,sbsom-float,30,84.37,75.65,1.68,0.491311,0.492272,0.0201,0.217041,True,ok,
64,ssom-feat,28,126.31,99.39,2.91,0.487845,0.488784,0.021005,0.205811,True,ok,
64,ssom-node,29,564.11,550.06,4.25,0.48983,0.49071,0.020195,0.211914,True,ok,
91,sbsom-bin,35,159.09,146.87,2.21,0.474016,0.474959,0.02431,0.253472,True,ok,
91,sbsom-float,35,185.46,172.86,2.65,0.474016,0.474959,0.02431,0.253472,True,ok,
91,ssom-feat,29,267.43,228.79,7.01,0.468704,0.469475,0.02569,0.252747,True,ok,
91,ssom-node,30,1182.41,1160.28,11.61,0.469817,0.47059,0.024705,0.240068,True,ok,
129,sbsom-bin,36,440.83,425.86,3.31,0.456237,0.456963,0.028415,0.307433,True,ok,
129,sbsom-float,36,442.47,427.17,3.79,0.456237,0.456963,0.028415,0.307433,True,ok,
181,sbsom-bin,41,1234.51,1211.74,6.14,0.437169,0.437668,0.033425,0.364977,True,ok,
150,sbsom-float,37,677.08,659.43,4.76,0.445475,0.446077,0.031065,0.319956,True,ok,
32,somoclu,25,6182.5,,,0.567171,,0.374135,,,estimated,"load 273s, 236s/ep, ETA 103.0min for 25ep; 1.9% done in 120s GPU-timeout"
45,somoclu,27,16787.7,,,0.564522,,0.34429,,,estimated,"load 546s, 602s/ep, ETA 279.8min for 27ep; 1.3% done in 225s GPU-timeout"
